	Plate	Well	Well Number	Original Gene Target	Frames	Plate_Map_Name	Gene_Replicate	Site	DNA
0	LT0001_02	A4	4	ENSG00000149503	36	LT0001_02_4	1	1	LT0001_02/LT0001_02_4_36.tif
1	LT0001_02	C1	49	ENSG00000149503	42	LT0001_02_49	1	1	LT0001_02/LT0001_02_49_42.tif
2	LT0001_02	C4	52	ENSG00000149503	43	LT0001_02_52	1	1	LT0001_02/LT0001_02_52_43.tif
3	LT0001_09	A4	4	ENSG00000149503	39	LT0001_09_4	1	1	LT0001_09/LT0001_09_4_39.tif
4	LT0001_09	C1	49	ENSG00000149503	62	LT0001_09_49	1	1	LT0001_09/LT0001_09_49_62.tif
5	LT0001_09	C4	52	ENSG00000149503	40	LT0001_09_52	1	1	LT0001_09/LT0001_09_52_40.tif
6	LT0001_12	A4	4	ENSG00000149503	42	LT0001_12_4	1	1	LT0001_12/LT0001_12_4_42.tif
7	LT0001_12	C1	49	ENSG00000149503	36	LT0001_12_49	1	1	LT0001_12/LT0001_12_49_36.tif
8	LT0001_12	C4	52	ENSG00000149503	46	LT0001_12_52	1	1	LT0001_12/LT0001_12_52_46.tif
9	LT0002_02	A4	4	ENSG00000149503	31	LT0002_02_4	1	1	LT0002_02/LT0002_02_4_31.tif
10	LT0002_02	C1	49	ENSG00000149503	47	LT0002_02_49	1	1	LT0002_02/LT0002_02_49_47.tif
11	LT0002_02	C4	52	ENSG00000149503	32	LT0002_02_52	1	1	LT0002_02/LT0002_02_52_32.tif
12	LT0002_24	A4	4	ENSG00000149503	43	LT0002_24_4	1	1	LT0002_24/LT0002_24_4_43.tif
13	LT0002_24	C1	49	ENSG00000149503	38	LT0002_24_49	1	1	LT0002_24/LT0002_24_49_38.tif
14	LT0002_24	C4	52	ENSG00000149503	44	LT0002_24_52	1	1	LT0002_24/LT0002_24_52_44.tif
15	LT0002_51	A4	4	ENSG00000149503	59	LT0002_51_4	1	1	LT0002_51/LT0002_51_4_59.tif
16	LT0002_51	C1	49	ENSG00000149503	37	LT0002_51_49	1	1	LT0002_51/LT0002_51_49_37.tif
17	LT0002_51	C4	52	ENSG00000149503	56	LT0002_51_52	1	1	LT0002_51/LT0002_51_52_56.tif
18	LT0003_02	A4	4	ENSG00000149503	49	LT0003_02_4	1	1	LT0003_02/LT0003_02_4_49.tif
19	LT0003_02	C1	49	ENSG00000149503	51	LT0003_02_49	1	1	LT0003_02/LT0003_02_49_51.tif
20	LT0003_02	C4	52	ENSG00000149503	61	LT0003_02_52	1	1	LT0003_02/LT0003_02_52_61.tif
21	LT0003_15	A4	4	ENSG00000149503	36	LT0003_15_4	1	1	LT0003_15/LT0003_15_4_36.tif
22	LT0003_15	C1	49	ENSG00000149503	49	LT0003_15_49	1	1	LT0003_15/LT0003_15_49_49.tif
23	LT0003_15	C4	52	ENSG00000149503	51	LT0003_15_52	1	1	LT0003_15/LT0003_15_52_51.tif
24	LT0003_40	A4	4	ENSG00000149503	42	LT0003_40_4	1	1	LT0003_40/LT0003_40_4_42.tif
25	LT0003_40	C1	49	ENSG00000149503	59	LT0003_40_49	1	1	LT0003_40/LT0003_40_49_59.tif
26	LT0003_40	C4	52	ENSG00000149503	41	LT0003_40_52	1	1	LT0003_40/LT0003_40_52_41.tif
27	LT0004_06	A4	4	ENSG00000149503	59	LT0004_06_4	1	1	LT0004_06/LT0004_06_4_59.tif
28	LT0004_06	C1	49	ENSG00000149503	60	LT0004_06_49	1	1	LT0004_06/LT0004_06_49_60.tif
29	LT0004_06	C4	52	ENSG00000149503	45	LT0004_06_52	1	1	LT0004_06/LT0004_06_52_45.tif
30	LT0004_11	A4	4	ENSG00000149503	49	LT0004_11_4	1	1	LT0004_11/LT0004_11_4_49.tif
31	LT0004_11	C1	49	ENSG00000149503	35	LT0004_11_49	1	1	LT0004_11/LT0004_11_49_35.tif
32	LT0004_11	C4	52	ENSG00000149503	54	LT0004_11_52	1	1	LT0004_11/LT0004_11_52_54.tif
33	LT0004_47	A4	4	ENSG00000149503	54	LT0004_47_4	1	1	LT0004_47/LT0004_47_4_54.tif
34	LT0004_47	C1	49	ENSG00000149503	40	LT0004_47_49	1	1	LT0004_47/LT0004_47_49_40.tif
35	LT0004_47	C4	52	ENSG00000149503	48	LT0004_47_52	1	1	LT0004_47/LT0004_47_52_48.tif
36	LT0005_06	A4	4	ENSG00000149503	54	LT0005_06_4	1	1	LT0005_06/LT0005_06_4_54.tif
37	LT0005_06	C1	49	ENSG00000149503	61	LT0005_06_49	1	1	LT0005_06/LT0005_06_49_61.tif
38	LT0005_06	C4	52	ENSG00000149503	31	LT0005_06_52	1	1	LT0005_06/LT0005_06_52_31.tif
39	LT0005_44	A4	4	ENSG00000149503	53	LT0005_44_4	1	1	LT0005_44/LT0005_44_4_53.tif
40	LT0005_44	C1	49	ENSG00000149503	44	LT0005_44_49	1	1	LT0005_44/LT0005_44_49_44.tif
41	LT0005_44	C4	52	ENSG00000149503	40	LT0005_44_52	1	1	LT0005_44/LT0005_44_52_40.tif
42	LT0005_47	A4	4	ENSG00000149503	40	LT0005_47_4	1	1	LT0005_47/LT0005_47_4_40.tif
43	LT0005_47	C1	49	ENSG00000149503	38	LT0005_47_49	1	1	LT0005_47/LT0005_47_49_38.tif
44	LT0005_47	C4	52	ENSG00000149503	62	LT0005_47_52	1	1	LT0005_47/LT0005_47_52_62.tif
45	LT0006_10	A4	4	ENSG00000149503	60	LT0006_10_4	1	1	LT0006_10/LT0006_10_4_60.tif
