,Mitocheck_Phenotypic_Class,Feature_Type,Cell_UUID,UMAP_Embedding,Embedding_Value
0,Large,CP,21da27ab-873a-41f4-ab98-49170cae9a2d,UMAP1,6.8788276
1,Large,CP,82f7949b-4ea2-45c8-8dd9-7854caf49077,UMAP1,9.8615465
2,Large,CP,cec7234f-fe35-4411-aded-f8112bb31219,UMAP1,6.8026695
3,Large,CP,43d9e7c9-c9ec-45ce-8820-048bfb896989,UMAP1,8.546513
4,Large,CP,63ce6652-338e-4afd-9c77-dbc0e903bf92,UMAP1,8.440182
5,Large,CP,08c1dd64-a50a-470a-8fac-3df28fd3b825,UMAP1,10.021554
6,Large,CP,00bb63e5-bc9f-4a2b-b71f-f23e2ffb25af,UMAP1,7.8822174
7,Large,CP,f3c35aae-727d-4f81-9041-6b5fac480e09,UMAP1,8.856766
8,Large,CP,21963453-c027-48a2-86c3-39941d504485,UMAP1,9.746046
9,Large,CP,5794eb53-4f68-49f8-a55e-adb30fb6d0ee,UMAP1,8.858417
10,Large,CP,da7eceb8-06e6-4b70-86e0-22bfd001165b,UMAP1,7.587079
11,Large,CP,174adba2-d900-4010-96c5-2cb295596068,UMAP1,7.9403796
12,Large,CP,862dcc76-3eb7-4e96-91b5-54e5cf002bd7,UMAP1,9.776366
13,Large,CP,2555b2f1-3f69-4106-996d-73016d02deea,UMAP1,10.537837
14,Large,CP,4727ffa1-eee9-480c-b339-93644a0f0c26,UMAP1,10.508914
15,Large,CP,35bf9c7c-8da1-4e63-9556-6cd7b6f0244f,UMAP1,9.799958
16,Large,CP,f6a804a7-7d16-45f9-a00b-131d4c311418,UMAP1,10.012631
17,Large,CP,ad69abb4-73b1-4c4c-97b5-e8c3566968a2,UMAP1,9.934771
18,Large,CP,bb5c461a-2feb-4b64-a9a3-467032fc191e,UMAP1,10.000169
19,Large,CP,eaf12907-900a-41b7-ab45-85c604cac2be,UMAP1,10.140253
20,Large,CP,ed86798e-2ffc-4524-9eb6-163afad6f406,UMAP1,6.7716813
21,Large,CP,937937a5-fe16-4179-a161-9cbf9784d60c,UMAP1,8.679084
22,Large,CP,7b755af7-27b8-4817-b13e-e746bc017968,UMAP1,6.746268
23,Large,CP,2d9464b7-4cf7-4a30-810f-8e75b9255413,UMAP1,9.648523
24,Large,CP,9b391eca-debf-493a-a393-31e1851166ea,UMAP1,9.543567
25,Large,CP,cdc81026-5ab0-48d7-b2cd-013415f3e079,UMAP1,10.578346
26,Large,CP,894cbd4f-146a-4e88-875e-e1166a449c2a,UMAP1,9.354059
27,Large,CP,982a62a7-811a-4a05-89ae-b197db4e2c91,UMAP1,9.977838
28,Large,CP,302bc90a-aab7-455e-9650-e16bba3e7502,UMAP1,9.919856
29,Large,CP,5d6bd7f8-6b6b-4ebd-99e4-22e3bfc317bd,UMAP1,9.678133
30,Large,CP,454090b0-5537-4a2c-9f04-19a4bbbb5096,UMAP1,10.1463175
31,Large,CP,ac656e50-57a7-4e27-80de-674791b483bc,UMAP1,10.057487
32,Large,CP,896f0a43-16f0-46a0-889b-fdcff6602be1,UMAP1,10.054006
33,Large,CP,b9cdf958-23bd-4f10-8452-d05903154a87,UMAP1,10.03982
34,Large,CP,dff28b2d-231e-4e8a-8d29-8bb63f6ca31b,UMAP1,10.311084
35,Large,CP,28eabd9a-ddc0-4d38-ac33-90f8b709e974,UMAP1,10.027384
36,Large,CP,bff3b518-f583-445d-acb4-861a47a78965,UMAP1,8.779628
37,Large,CP,af1dd2b3-e44b-4482-9a6e-0025d8d8afda,UMAP1,9.779548
38,Large,CP,03551c60-46c3-41e4-9804-3f879005e252,UMAP1,9.947322
39,Large,CP,c7bd1fcf-8a77-4dbf-97e6-5c81afa9d5bf,UMAP1,10.255736
40,Large,CP,d0610500-7223-42bc-9ed4-0886afa599a1,UMAP1,10.389572
41,Large,CP,946fcb15-5197-4e21-9ece-620a2cff278e,UMAP1,9.964481
42,Large,CP,c916fd94-189d-4347-98d9-e7546a0ed817,UMAP1,8.988545
43,Large,CP,29bf031f-2020-4e50-8699-4b3bfb8d3035,UMAP1,7.296501
44,Large,CP,277fba5b-9c04-434b-aa06-8696fde097e4,UMAP1,9.453556
45,Large,CP,69f600c7-5382-4e28-a919-ab9cf20449c5,UMAP1,10.053882
46,Large,CP,9d1302a2-a826-4887-a23e-a323bbc7e736,UMAP1,9.943211
47,Large,CP,859d05a5-e5f8-4aa9-aad0-db3a1c79271a,UMAP1,9.9954815
48,Large,CP,b1e85ba6-6566-4c67-a8c7-f3367babf359,UMAP1,11.765147
49,Large,CP,60c8be23-f79a-4282-8921-6070b7ac31c3,UMAP1,10.303834
50,Large,CP,e6e82a48-0c61-4bb2-a308-7c4bca6e7390,UMAP1,10.209138
51,Large,CP,d1a1c1c7-74fd-4e11-9ed1-d7c63b96075c,UMAP1,10.227183
52,Large,CP,5623ec98-d998-4542-bc7c-eccc89166500,UMAP1,10.240392
53,Large,CP,dd9090dc-b5f6-4f5f-8dfc-90e599e836ad,UMAP1,10.138547
54,Large,CP,e24c687b-c917-44ce-9876-95d387f4c38b,UMAP1,10.137031
55,Large,CP,f552ac24-2c63-47e6-92fb-3ff63cd3e007,UMAP1,10.219926
56,Large,CP,f9d0c4fa-4d7e-4869-a88f-550281e9ff78,UMAP1,10.123937
57,Large,CP,9f7e9e13-0837-4f06-9ab3-50de9f4fb7d0,UMAP1,10.122087
58,Large,CP,7cef0c83-e87c-4743-98fd-9d68df14bbb1,UMAP1,10.163337
59,Large,CP,4e6431f2-ea17-4730-a3a2-d5e282250f4b,UMAP1,10.586789
60,Large,CP,a4dd04db-e3ec-442e-acc6-331153368331,UMAP1,10.194665
61,Large,CP,cb2f6526-b0e2-490a-99b5-6a93dffead93,UMAP1,10.1437025
62,Large,CP,ac50f10a-40e1-47c7-9d81-11e7eeb36139,UMAP1,10.41854
63,Large,CP,7d2de058-da39-4483-a10c-21133b95769f,UMAP1,10.230344
64,Large,CP,4ee2d325-2f2e-4b1a-b2c6-5b1b8b307f64,UMAP1,11.780661
65,Large,CP,4829f744-6b25-4ea0-8ec8-c7de08cdcfda,UMAP1,10.335504
66,Large,CP,5c556dc5-dbf4-4f00-8143-ac1d58416db5,UMAP1,10.313171
67,Large,CP,135343d2-b4ce-4a5d-9b75-4d92db0a176f,UMAP1,10.563418
68,Large,CP,f8014532-ba97-45bf-857e-5d4b8c23f213,UMAP1,10.275806
69,Large,CP,aa60d264-fa11-4ba5-b30b-6563e2b3f6bf,UMAP1,10.24342
70,Large,CP,6319ba45-66b9-42c7-a467-966df00e95f5,UMAP1,10.6101465
71,Large,CP,46a6c870-b963-4fac-98fa-a4d7aa6a8d94,UMAP1,10.598612
72,Large,CP,f46fb057-0f6c-44a1-a283-ca846770c088,UMAP1,10.260572
73,Large,CP,4c1f79c7-5d36-4f32-94df-dddc3a79de6c,UMAP1,9.371969
74,Large,CP,d8c5f5a5-2bcd-4e97-9f4c-83703b04446b,UMAP1,9.66938
75,Large,CP,ae9927bb-79d5-4c22-9c3d-8108900565c1,UMAP1,7.173583
76,Large,CP,00ff7d1e-3831-4bc5-9692-df12aeed6a30,UMAP1,9.70275
77,Large,CP,b0b162c4-d0f4-4c27-a7a9-d7cdb9cf59f7,UMAP1,6.7571287
78,Large,CP,baf2538f-4d2c-4df2-990b-a0396c93579d,UMAP1,6.8049936
79,Prometaphase,CP,eeb48c26-7de8-4172-9a35-0f356c0e5230,UMAP1,-0.9351681
80,Prometaphase,CP,c00a8825-36e6-4c1c-b9a2-0df1070f1bfa,UMAP1,1.3947563
81,Prometaphase,CP,ed1fb2f1-5589-471e-87ea-802a4544e7d7,UMAP1,-0.8485388
82,Prometaphase,CP,9712275e-668c-4b06-bf89-c3770b2c4197,UMAP1,-0.32741195
83,Prometaphase,CP,c16c4836-21ff-44f9-bd2c-eb95e761250d,UMAP1,0.033939127
84,Prometaphase,CP,0787157b-65fb-4731-9b26-50b907026043,UMAP1,2.0061944
85,Prometaphase,CP,e146d41d-fba9-4d96-b6fc-8a38c23a4469,UMAP1,-0.421602
86,Prometaphase,CP,c5f8c758-ce30-46d8-9aa0-2f5a3918c600,UMAP1,1.326853
87,Prometaphase,CP,731e9074-b0b7-4c73-9499-f5f580e68464,UMAP1,0.6008214
88,Prometaphase,CP,a1be50f2-2735-4d9f-aa5c-2e0c2dae108a,UMAP1,-0.81809497
89,Prometaphase,CP,1d2a23ae-e5ac-4734-8f4c-9679b9db485f,UMAP1,-1.1199954
