,Mitocheck_Phenotypic_Class,Feature_Type,Cell_UUID,UMAP_Embedding,Embedding_Value
0,Large,CP,3ba3aae1-489a-4eae-87f5-f3c31c9c91e9,UMAP1,4.6374197
1,Large,CP,c16d0e78-70db-49ff-bc48-027342fe00da,UMAP1,2.1192417
2,Large,CP,4a6e4da9-941d-4a6c-968e-cb1932839313,UMAP1,4.981214
3,Large,CP,bd03dd73-f4fb-4a25-93ce-1720e55de69b,UMAP1,4.879813
4,Large,CP,9721f66a-6a76-4a22-a257-e021a5da9e01,UMAP1,4.9298797
5,Large,CP,b3846115-1300-4bb1-8988-e494ef1fb363,UMAP1,2.068591
6,Large,CP,1ec2c77b-6ac1-4815-9e42-bdae95be8c8a,UMAP1,3.3310924
7,Large,CP,8d6a0d3d-a257-4959-a4be-1245f72db909,UMAP1,4.7427936
8,Large,CP,1d3c1e7f-69a8-445e-9b56-bf26884f8864,UMAP1,2.206019
9,Large,CP,8d20b536-1f37-4c9d-9ecc-32cc87dc7195,UMAP1,3.9620292
10,Large,CP,17e71613-b566-4669-a54b-d06552381cf0,UMAP1,5.582948
11,Large,CP,df1fcc6d-c25a-4b18-a9b4-0a6301bffaf8,UMAP1,2.159111
12,Large,CP,ff6fa233-b1bf-4b8a-b5b1-c568ecffb9d1,UMAP1,2.184665
13,Large,CP,61bc9226-fa82-4123-be18-0e92ab5ef75c,UMAP1,1.8055518
14,Large,CP,1e31ed50-bf07-469d-99e1-17b67a3f0cd9,UMAP1,1.7683321
15,Large,CP,878d7e1a-8c5a-4255-b0de-46f10d3f3daa,UMAP1,2.131608
16,Large,CP,dcefda2b-b56e-444d-ae82-513d3b5556fa,UMAP1,1.7918878
17,Large,CP,0f4766ae-b25b-4977-b4a2-5d99e9981542,UMAP1,2.0002995
18,Large,CP,3f94cb4c-f73e-440d-932d-fa0e3b260d1b,UMAP1,1.7713886
19,Large,CP,aaca4da0-e2b1-4f7b-9bdf-b6e385622e3d,UMAP1,3.2544363
20,Large,CP,74564812-407a-424a-9a68-e74805137b64,UMAP1,4.9667583
21,Large,CP,589e223c-e48c-437b-b5d9-48383bd388a9,UMAP1,4.762926
22,Large,CP,96eac426-f9e8-402c-8f2b-59144e424f32,UMAP1,3.867807
23,Large,CP,e34ac072-28ac-4083-bd50-54dcb0df765c,UMAP1,4.023389
24,Large,CP,e9d0b34f-9660-445e-b2dc-ce348ec36d61,UMAP1,2.3475804
25,Large,CP,dcff54af-0408-4f2e-aa2f-56b961d5dfd2,UMAP1,1.9905792
26,Large,CP,52564064-87a5-4c60-a16f-a3ad4fbf8363,UMAP1,4.7643023
27,Large,CP,e7c04029-1b15-4267-9bdc-cd356495de1c,UMAP1,4.5580297
28,Large,CP,4f3a0266-e8f3-4752-9406-fcb1a39b4b45,UMAP1,4.8989086
29,Large,CP,b53b9240-90ab-407a-8a13-1f953bfa3294,UMAP1,1.9260182
30,Large,CP,1ae1262d-383c-42c8-9598-5f47344fad36,UMAP1,1.8720441
31,Large,CP,f70ebd27-7222-4379-866b-af2ad2214a6e,UMAP1,1.8797925
32,Large,CP,70a02bc4-e1fc-4110-a3f9-773aacdefd5a,UMAP1,1.8894916
33,Large,CP,21302a27-7fbd-4a68-aa38-c1fa54cccb77,UMAP1,1.719262
34,Large,CP,2aad0a1e-dd85-4b64-8e37-496369a9d6fb,UMAP1,2.1377227
35,Large,CP,4890186e-bdfc-4554-9c2d-ff587141d1a3,UMAP1,1.9169046
36,Large,CP,43dd8c1e-76aa-4426-bf01-d667cf64a672,UMAP1,1.6491872
37,Large,CP,3e42f33e-f801-45ff-8424-be1e363ba824,UMAP1,1.5613911
38,Large,CP,adbce8f6-3b85-42d5-869c-9934ae1e5fa3,UMAP1,2.0187602
39,Large,CP,01057ef3-cc06-4e20-931f-69de9a7357d0,UMAP1,4.3699346
40,Large,CP,1553e49c-68d7-4617-b287-3b51f10e3e87,UMAP1,3.7929246
41,Large,CP,4dfa07d0-43cc-4381-930c-6c7d5a949ecf,UMAP1,4.6412683
42,Large,CP,d781fa79-3cde-43fa-8c8c-007f84799bac,UMAP1,2.2873354
43,Large,CP,259577a6-9f02-4361-abda-b85a7c1bd52d,UMAP1,1.9888734
