,Mitocheck_Phenotypic_Class,Single_Cell_Counts,Dataset_Type
0,Interphase,420,ic
1,Polylobed,367,ic
2,Prometaphase,345,ic
3,OutOfFocus,304,ic
4,Apoptosis,273,ic
5,Binuclear,184,ic
6,MetaphaseAlignment,175,ic
7,SmallIrregular,164,ic
8,Hole,114,ic
9,Elongated,110,ic
10,ADCCM,95,ic
11,Anaphase,84,ic
12,Large,79,ic
13,Grape,74,ic
14,Metaphase,74,ic
15,Folded,54,ic
16,Interphase,419,no_ic
17,Polylobed,361,no_ic
18,Prometaphase,345,no_ic
19,OutOfFocus,304,no_ic
20,Apoptosis,276,no_ic
21,MetaphaseAlignment,175,no_ic
22,Binuclear,174,no_ic
23,SmallIrregular,164,no_ic
24,Hole,114,no_ic
25,Elongated,107,no_ic
26,ADCCM,89,no_ic
27,Anaphase,84,no_ic
28,Grape,78,no_ic
29,Large,77,no_ic
30,Metaphase,74,no_ic
31,Folded,53,no_ic
